timestamp,solving_id,question_id,user_answer,elapsed_time
1561532402287,1,q4370,d,25000
1561532461283,2,q1305,c,54000
1561532500594,3,q10026,a,36000
1561532532513,4,q4014,b,29000
1561532557831,5,q4019,a,22000
1561532575745,6,q6323,c,15000
1561532612411,7,q6037,a,34000
1561544561530,8,q726,b,69000
1561544626131,9,q10327,d,29000
1561544646442,10,q280,,4000
1561633806276,11,q1651,,1000
1561633806523,11,q1652,,1000
1561633806528,11,q1650,,1000
1561689817139,12,q11746,d,34500
1561689817144,12,q11745,c,34500
1561689817152,12,q11744,c,34500
1561689817461,12,q11743,d,34500
1561689921462,13,q526,c,58000
1561690060088,14,q1857,c,35000
1561690060488,14,q1859,a,35000
1561690060497,14,q1858,a,35000
1561690230212,15,q84,c,62000
1561690343877,16,q686,b,51000
1561690483412,17,q1684,c,33333
1561690483787,17,q1683,b,33333
1561690484142,17,q1685,b,33333
1561690798931,18,q6302,b,38000
1561690881675,19,q10268,b,46000
1561691018704,20,q7106,a,47500
1561691018732,20,q7107,d,47500
1561843614026,21,q4476,c,29000
1561843648131,22,q3650,b,16000
1561843698192,23,q5492,c,36000
