timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1561532375523,enter,b2902,,diagnosis,,web
1561532401078,respond,q4370,,diagnosis,d,web
1561532401917,submit,b2902,,diagnosis,,web
1561532406271,enter,b1305,,diagnosis,,web
1561532409163,play_audio,b1305,0,diagnosis,,web
1561532424957,pause_audio,b1305,15673,diagnosis,,web
1561532426225,play_audio,b1305,15673,diagnosis,,web
1561532431708,pause_audio,b1305,5159,diagnosis,,web
1561532432316,play_audio,b1305,5159,diagnosis,,web
1561532442557,pause_audio,b1305,15673,diagnosis,,web
1561532444089,play_audio,b1305,15673,diagnosis,,web
1561532459825,pause_audio,b1305,15673,diagnosis,,web
1561532460208,respond,q1305,,diagnosis,c,web
1561532461043,submit,b1305,,diagnosis,,web
1561532463241,enter,b7377,,diagnosis,,web
1561532499535,respond,q10026,,diagnosis,a,web
1561532500405,submit,b7377,,diagnosis,,web
1561532502482,enter,b2546,,diagnosis,,web
1561532530125,respond,q4014,,diagnosis,b,web
1561532532295,submit,b2546,,diagnosis,,web
1561532534300,enter,b2551,,diagnosis,,web
1561532556911,respond,q4019,,diagnosis,a,web
1561532557586,submit,b2551,,diagnosis,,web
1561532559440,enter,b4855,,diagnosis,,web
1561532574028,respond,q6323,,diagnosis,c,web
1561532575536,submit,b4855,,diagnosis,,web
1561532577473,enter,b4569,,diagnosis,,web
1561532611424,respond,q6037,,diagnosis,a,web
1561532612134,submit,b4569,,diagnosis,,web
1561544491870,enter,b726,,tutor,,mobile
1561544502590,respond,q726,,tutor,a,mobile
1561544523432,play_audio,b726,0,tutor,,mobile
1561544539821,respond,q726,,tutor,b,mobile
1561544539827,pause_audio,b726,17268,tutor,,mobile
1561544548918,erase_choice,q726,,tutor,b,mobile
1561544550944,erase_choice,q726,,tutor,c,mobile
1561544551895,erase_choice,q726,,tutor,a,mobile
1561544566232,submit,b726,,tutor,,mobile
1561544566327,enter,e726,,tutor,,mobile
1561544573993,play_audio,b726,0,tutor,,mobile
1561544589315,pause_audio,b726,14814,tutor,,mobile
1561544596517,quit,e726,,tutor,,mobile
1561544596609,enter,b7678,,tutor,,mobile
1561544624566,respond,q10327,,tutor,d,mobile
1561544630852,submit,b7678,,tutor,,mobile
1561544630932,enter,e7678,,tutor,,mobile
1561544641738,quit,e7678,,tutor,,mobile
1561633811261,enter,b1614,,tutor,,mobile
