"id_site","code_module","code_presentation","activity_type","week_from","week_to"
"546943","AAA","2013J","resource","",""
"546712","AAA","2013J","oucontent","",""
"546998","AAA","2013J","resource","",""
"546888","AAA","2013J","url","",""
"547035","AAA","2013J","resource","",""
"546614","AAA","2013J","homepage","",""
"546897","AAA","2013J","url","",""
"546678","AAA","2013J","oucontent","",""
"546933","AAA","2013J","resource","",""
"546708","AAA","2013J","oucontent","",""
"546995","AAA","2013J","resource","",""
"546884","AAA","2013J","url","",""
"547031","AAA","2013J","resource","",""
"546891","AAA","2013J","url","",""
"546675","AAA","2013J","oucontent","",""
"546927","AAA","2013J","resource","",""
"546705","AAA","2013J","oucontent","",""
"546991","AAA","2013J","resource","",""
"546876","AAA","2013J","subpage","",""
"547027","AAA","2013J","resource","",""
"546671","AAA","2013J","oucontent","",""
"546923","AAA","2013J","resource","",""
"546702","AAA","2013J","oucontent","",""
"546988","AAA","2013J","resource","",""
"546872","AAA","2013J","subpage","",""
"547024","AAA","2013J","resource","",""
"546668","AAA","2013J","oucontent","",""
"546920","AAA","2013J","resource","",""
"546699","AAA","2013J","oucontent","",""
"546985","AAA","2013J","resource","",""
"546739","AAA","2013J","oucontent","",""
"547021","AAA","2013J","resource","",""
"546665","AAA","2013J","oucontent","",""
"546917","AAA","2013J","resource","",""
"546695","AAA","2013J","oucontent","",""
"546982","AAA","2013J","resource","",""
"546736","AAA","2013J","oucontent","",""
"547018","AAA","2013J","resource","",""
"546661","AAA","2013J","glossary","",""
"546692","AAA","2013J","oucontent","",""
"546972","AAA","2013J","resource","",""
"546733","AAA","2013J","oucontent","",""
"547014","AAA","2013J","resource","",""
"546658","AAA","2013J","forumng","",""
"546914","AAA","2013J","resource","",""
"546689","AAA","2013J","oucontent","",""
"546968","AAA","2013J","resource","",""
"546728","AAA","2013J","oucontent","",""
"547011","AAA","2013J","resource","",""
"547066","AAA","2013J","oucollaborate","",""
"546655","AAA","2013J","forumng","",""
"546910","AAA","2013J","resource","",""
"546686","AAA","2013J","oucontent","",""
"546961","AAA","2013J","resource","",""
"546723","AAA","2013J","oucontent","",""
"547007","AAA","2013J","resource","",""
"547048","AAA","2013J","dataplus","",""
"546652","AAA","2013J","forumng","",""
"546906","AAA","2013J","resource","",""
"546954","AAA","2013J","resource","",""
"546717","AAA","2013J","oucontent","",""
"547004","AAA","2013J","resource","",""
"547042","AAA","2013J","resource","",""
"546649","AAA","2013J","forumng","",""
"546903","AAA","2013J","url","",""
"546683","AAA","2013J","oucontent","",""
"546948","AAA","2013J","resource","",""
"546714","AAA","2013J","oucontent","",""
"547001","AAA","2013J","resource","",""
"547037","AAA","2013J","resource","",""
"546645","AAA","2013J","forumng","",""
"546899","AAA","2013J","url","",""
"546680","AAA","2013J","oucontent","",""
"546942","AAA","2013J","resource","",""
"546711","AAA","2013J","oucontent","",""
"546997","AAA","2013J","resource","",""
"546887","AAA","2013J","url","",""
"547034","AAA","2013J","resource","",""
"546896","AAA","2013J","url","",""
"546677","AAA","2013J","oucontent","",""
"546930","AAA","2013J","resource","",""
"546707","AAA","2013J","oucontent","",""
"546994","AAA","2013J","resource","",""
"546883","AAA","2013J","url","",""
"547030","AAA","2013J","resource","",""
"546890","AAA","2013J","url","",""
"546674","AAA","2013J","oucontent","",""
"546925","AAA","2013J","resource","",""
"546704","AAA","2013J","oucontent","",""
"546990","AAA","2013J","resource","",""
"546874","AAA","2013J","subpage","",""
"547026","AAA","2013J","resource","",""
"546670","AAA","2013J","oucontent","",""
"546922","AAA","2013J","resource","",""
"546701","AAA","2013J","oucontent","",""
"546987","AAA","2013J","resource","",""
"546871","AAA","2013J","subpage","",""
"547023","AAA","2013J","resource","",""
"546667","AAA","2013J","oucontent","",""
"546919","AAA","2013J","resource","",""
"546697","AAA","2013J","oucontent","",""
"546984","AAA","2013J","resource","",""
"546738","AAA","2013J","oucontent","",""
"547020","AAA","2013J","resource","",""
"546664","AAA","2013J","oucontent","",""
"546694","AAA","2013J","oucontent","",""
"546975","AAA","2013J","resource","",""
"546735","AAA","2013J","oucontent","",""
"547017","AAA","2013J","resource","",""
"546660","AAA","2013J","glossary","",""
"546916","AAA","2013J","resource","",""
"546691","AAA","2013J","oucontent","",""
"546971","AAA","2013J","resource","",""
"546732","AAA","2013J","oucontent","2","2"
"547013","AAA","2013J","resource","",""
"546657","AAA","2013J","forumng","",""
"546913","AAA","2013J","resource","",""
"546688","AAA","2013J","oucontent","",""
"546966","AAA","2013J","resource","",""
"546726","AAA","2013J","oucontent","",""
"547009","AAA","2013J","resource","",""
"547050","AAA","2013J","dataplus","",""
"546654","AAA","2013J","forumng","",""
"546909","AAA","2013J","resource","",""
"546685","AAA","2013J","oucontent","",""
"546960","AAA","2013J","resource","",""
"546721","AAA","2013J","oucontent","",""
"547006","AAA","2013J","resource","",""
"547047","AAA","2013J","dataplus","",""
"546651","AAA","2013J","forumng","",""
"546905","AAA","2013J","url","",""
"546952","AAA","2013J","resource","",""
"546716","AAA","2013J","oucontent","",""
"547003","AAA","2013J","resource","",""
"547040","AAA","2013J","resource","",""
"546648","AAA","2013J","forumng","",""
"546901","AAA","2013J","url","",""
"546682","AAA","2013J","oucontent","",""
"546947","AAA","2013J","resource","",""
"546713","AAA","2013J","oucontent","",""
"547000","AAA","2013J","resource","",""
"546889","AAA","2013J","url","",""
"547036","AAA","2013J","resource","",""
"546644","AAA","2013J","forumng","",""
"546898","AAA","2013J","url","",""
"546679","AAA","2013J","oucontent","",""
"546935","AAA","2013J","resource","",""
"546709","AAA","2013J","oucontent","",""
"546996","AAA","2013J","resource","",""
"546885","AAA","2013J","url","",""
"547032","AAA","2013J","resource","",""
"546894","AAA","2013J","url","",""
"546676","AAA","2013J","oucontent","",""
"546928","AAA","2013J","resource","",""
"546706","AAA","2013J","oucontent","",""
"546992","AAA","2013J","resource","",""
"546879","AAA","2013J","subpage","",""
"547028","AAA","2013J","resource","",""
"546672","AAA","2013J","oucontent","",""
"546924","AAA","2013J","resource","",""
"546703","AAA","2013J","oucontent","",""
"546989","AAA","2013J","resource","",""
"546873","AAA","2013J","subpage","",""
"547025","AAA","2013J","resource","",""
"546669","AAA","2013J","oucontent","",""
"546921","AAA","2013J","resource","",""
"546700","AAA","2013J","oucontent","",""
"546986","AAA","2013J","resource","",""
"546740","AAA","2013J","oucontent","",""
"547022","AAA","2013J","resource","",""
"546666","AAA","2013J","oucontent","",""
"546918","AAA","2013J","resource","",""
"546696","AAA","2013J","oucontent","",""
"546983","AAA","2013J","resource","",""
"546737","AAA","2013J","oucontent","",""
"547019","AAA","2013J","resource","",""
"546662","AAA","2013J","oucontent","",""
"546693","AAA","2013J","oucontent","",""
"546974","AAA","2013J","resource","",""
"546734","AAA","2013J","oucontent","",""
"547015","AAA","2013J","resource","",""
"546659","AAA","2013J","forumng","",""
"546915","AAA","2013J","resource","",""
"546690","AAA","2013J","oucontent","",""
"546970","AAA","2013J","resource","",""
"546731","AAA","2013J","oucontent","",""
"547012","AAA","2013J","resource","",""
"547067","AAA","2013J","oucollaborate","",""
"546656","AAA","2013J","forumng","",""
"546911","AAA","2013J","resource","",""
"546687","AAA","2013J","oucontent","",""
"546965","AAA","2013J","resource","",""
"546725","AAA","2013J","oucontent","",""
"547008","AAA","2013J","resource","",""
"547049","AAA","2013J","dataplus","",""
"546653","AAA","2013J","forumng","",""
"546907","AAA","2013J","resource","",""
"546955","AAA","2013J","resource","",""
"546719","AAA","2013J","oucontent","1","1"
"547005","AAA","2013J","resource","",""
