,userid,courseid,formatted agreed mark,actual grade,faculty
0,64,109,68.5,B,Faculty of Computer Science & Information Technology
1,65,109,66.5,B,Faculty of Computer Science & Information Technology
2,66,109,76.6,A-,Faculty of Computer Science & Information Technology
3,67,109,87.5,A,Faculty of Computer Science & Information Technology
4,68,109,91.0,A+,Faculty of Computer Science & Information Technology
5,69,109,85.25,A,Faculty of Computer Science & Information Technology
6,70,109,0.0,W1,Faculty of Computer Science & Information Technology
7,3072,109,75.5,A-,Faculty of Computer Science & Information Technology
8,3073,109,65.5,B,Faculty of Computer Science & Information Technology
9,3083,109,73.8,B+,Faculty of Computer Science & Information Technology
10,3084,109,89.55,A+,Faculty of Computer Science & Information Technology
11,3253,109,75.5,A-,Faculty of Computer Science & Information Technology
12,3255,109,76.9,A-,Faculty of Computer Science & Information Technology
13,3256,109,71.4,B+,Faculty of Computer Science & Information Technology
14,3257,109,71.4,B+,Faculty of Computer Science & Information Technology
15,3258,109,83.8,A,Faculty of Computer Science & Information Technology
16,3269,109,0.0,F,Faculty of Computer Science & Information Technology
17,3279,109,74.9,A-,Faculty of Computer Science & Information Technology
18,3280,109,83.1,A,Faculty of Computer Science & Information Technology
19,3281,109,96.1,A+,Faculty of Computer Science & Information Technology
20,3282,109,87.5,A,Faculty of Computer Science & Information Technology
21,3283,109,83.5,A,Faculty of Computer Science & Information Technology
22,3284,109,81.5,A,Faculty of Computer Science & Information Technology
23,3285,109,69.95,B+,Faculty of Computer Science & Information Technology
24,3286,109,70.5,B+,Faculty of Computer Science & Information Technology
25,3287,109,63.2,B-,Faculty of Computer Science & Information Technology
26,3288,109,81.1,A,Faculty of Computer Science & Information Technology
27,3289,109,85.0,A,Faculty of Computer Science & Information Technology
28,3290,109,87.75,A,Faculty of Computer Science & Information Technology
29,3291,109,63.0,B-,Faculty of Computer Science & Information Technology
30,3292,109,80.5,A,Faculty of Computer Science & Information Technology
31,3293,109,80.2,A,Faculty of Computer Science & Information Technology
32,3294,109,80.8,A,Faculty of Computer Science & Information Technology
33,3295,109,86.6,A,Faculty of Computer Science & Information Technology
34,3296,109,93.6,A+,Faculty of Computer Science & Information Technology
35,3297,109,72.9,B+,Faculty of Computer Science & Information Technology
36,3298,109,72.7,B+,Faculty of Computer Science & Information Technology
37,3300,109,79.7,A,Faculty of Computer Science & Information Technology
38,3301,109,95.8,A+,Faculty of Computer Science & Information Technology
39,3302,109,85.9,A,Faculty of Computer Science & Information Technology
40,3303,109,71.2,B+,Faculty of Computer Science & Information Technology
41,3304,109,91.15,A+,Faculty of Computer Science & Information Technology
42,3305,109,80.8,A,Faculty of Computer Science & Information Technology
43,3306,109,86.95,A,Faculty of Computer Science & Information Technology
44,3307,109,74.7,A-,Faculty of Computer Science & Information Technology
45,3308,109,74.65,A-,Faculty of Computer Science & Information Technology
46,3309,109,85.5,A,Faculty of Computer Science & Information Technology
47,3310,109,80.8,A,Faculty of Computer Science & Information Technology
48,3311,109,71.5,B+,Faculty of Computer Science & Information Technology
49,3312,109,90.4,A+,Faculty of Computer Science & Information Technology
50,3313,109,96.6,A+,Faculty of Computer Science & Information Technology
51,3314,109,90.2,A+,Faculty of Computer Science & Information Technology
52,3315,109,76.3,A-,Faculty of Computer Science & Information Technology
53,3316,109,82.6,A,Faculty of Computer Science & Information Technology
54,3317,109,71.5,B+,Faculty of Computer Science & Information Technology
55,3318,109,90.5,A+,Faculty of Computer Science & Information Technology
56,3319,109,66.9,B,Faculty of Computer Science & Information Technology
57,3320,109,81.9,A,Faculty of Computer Science & Information Technology
58,3321,109,90.25,A+,Faculty of Computer Science & Information Technology
59,3322,109,65.7,B,Faculty of Computer Science & Information Technology
60,3323,109,96.6,A+,Faculty of Computer Science & Information Technology
61,3324,109,92.2,A+,Faculty of Computer Science & Information Technology
62,3325,109,75.2,A-,Faculty of Computer Science & Information Technology
63,3326,109,72.4,B+,Faculty of Computer Science & Information Technology
64,3327,109,72.6,B+,Faculty of Computer Science & Information Technology
65,3328,109,96.1,A+,Faculty of Computer Science & Information Technology
66,3329,109,93.6,A+,Faculty of Computer Science & Information Technology
67,3330,109,79.6,A,Faculty of Computer Science & Information Technology
68,3331,109,72.0,B+,Faculty of Computer Science & Information Technology
69,3332,109,80.4,A,Faculty of Computer Science & Information Technology
70,3333,109,91.3,A+,Faculty of Computer Science & Information Technology
71,3334,109,90.4,A+,Faculty of Computer Science & Information Technology
72,3335,109,76.8,A-,Faculty of Computer Science & Information Technology
73,3336,109,68.45,B,Faculty of Computer Science & Information Technology
74,3337,109,89.7,A+,Faculty of Computer Science & Information Technology
75,3338,109,58.25,C+,Faculty of Computer Science & Information Technology
76,3339,109,82.0,A,Faculty of Computer Science & Information Technology
77,3341,109,75.0,A-,Faculty of Computer Science & Information Technology
78,3365,109,79.9,A,Faculty of Computer Science & Information Technology
79,3390,109,80.65,A,Faculty of Computer Science & Information Technology
80,3421,109,92.0,A+,Faculty of Computer Science & Information Technology
81,3643,109,26.5,F,Faculty of Computer Science & Information Technology
82,3644,109,80.0,A,Faculty of Computer Science & Information Technology
83,16261,109,0.0,F,Faculty of Computer Science & Information Technology
84,16272,109,81.5,A,Faculty of Computer Science & Information Technology
85,16273,109,87.25,A,Faculty of Computer Science & Information Technology
86,18159,109,71.5,B+,Faculty of Computer Science & Information Technology
87,18160,109,80.65,A,Faculty of Computer Science & Information Technology
88,18161,109,82.1,A,Faculty of Computer Science & Information Technology
